"Date","DV","VV","TN","TM","HR","PP","RAD_MEA","SUNSHINE","Nombre_Base"
2012-08-01,4,3.7,19.9,23,80,7.2,22.9,12.5519444444444,"metdata_Santamaria"
2012-09-01,4,3.3,18.01,22.4,79,9.8,21.4,12.3036111111111,"metdata_Santamaria"
2012-10-01,7,1.7,19.02,22.4,86,0.1,18,12.0316666666667,"metdata_Santamaria"
2012-12-01,4,3.3,17.54,21.9,72,0,13.4,11.58,"metdata_Santamaria"
2013-01-01,4,5.7,19.74,23.3,60,0,20.9,11.5522222222222,"metdata_Santamaria"
2013-02-01,3,8.3,19.43,22.8,55,0,23.3,11.7072222222222,"metdata_Santamaria"
2013-03-01,4,5.2,20.14,22.6,69,0.1,16.9,11.9386111111111,"metdata_Santamaria"
2013-04-01,4,4.9,21.52,25,64,1.6,23.1,12.2244444444444,"metdata_Santamaria"
2013-05-01,7,2.5,19.32,23.3,83,6.1,23,12.4833333333333,"metdata_Santamaria"
2013-06-01,3,2.1,19.97,21.4,89,2.1,9.8,12.6694444444444,"metdata_Santamaria"
2013-07-01,3,2,18.42,22.1,82,0.1,18.6,12.6969444444444,"metdata_Santamaria"
2013-08-01,4,3.1,17.95,22.1,78,0,16,12.5536111111111,"metdata_Santamaria"
2013-09-01,3,2.1,16.87,20.9,86,15.3,17.9,12.3058333333333,"metdata_Santamaria"
2013-10-01,3,2.5,17.73,21,89,41.8,17.3,12.0341666666667,"metdata_Santamaria"
2013-11-01,3,2.8,16.28,20.9,85,11.3,22.7,11.7666666666667,"metdata_Santamaria"
2013-12-01,3,4.5,19.34,22.3,63,0,16.8,11.5811111111111,"metdata_Santamaria"
2014-01-01,4,7.1,20.71,23.2,62,0,19.9,11.5513888888889,"metdata_Santamaria"
2014-02-01,4,5.7,15.45,21.9,55,0,23.6,11.7052777777778,"metdata_Santamaria"
2014-03-01,3,5.9,16.65,23.2,56,0,26.6,11.9363888888889,"metdata_Santamaria"
2014-04-01,4,6.8,18.74,24.1,45,0,28.5,12.2219444444444,"metdata_Santamaria"
2014-05-01,2,2.6,20.21,23.1,75,6,13.6,12.4813888888889,"metdata_Santamaria"
2014-06-01,3,2,18.47,23.2,76,1.1,22,12.6683333333333,"metdata_Santamaria"
2014-07-01,3,4,20.81,23.3,67,0.1,13,12.6972222222222,"metdata_Santamaria"
2014-08-01,3,4.6,20.67,24.1,64,0.3,13,12.5555555555556,"metdata_Santamaria"
2014-09-01,4,3.9,20.15,24.4,63,0,21.2,12.3080555555556,"metdata_Santamaria"
2014-10-01,7,2.7,16.97,22.4,82,1.5,22.3,12.0363888888889,"metdata_Santamaria"
2014-11-01,4,2.5,17.54,21.1,90,53,13.5,11.7686111111111,"metdata_Santamaria"
2014-12-01,4,4.7,20.71,23.7,70,0,17.8,11.5822222222222,"metdata_Santamaria"
2015-01-01,3,7.9,20.48,22.7,58,0,21.9,11.5508333333333,"metdata_Santamaria"
2015-02-01,4,7,19.54,22.9,56,0,24,11.7033333333333,"metdata_Santamaria"
2015-03-01,3,7.7,20.25,22.9,60,0,15,11.9341666666667,"metdata_Santamaria"
2015-04-01,4,5.1,18.2,23,52,0,22.3,12.2194444444444,"metdata_Santamaria"
2015-05-01,3,3.1,19.95,23.5,65,0.5,17.6,12.4791666666667,"metdata_Santamaria"
2015-06-01,7,2.8,19.1,23.5,78,12.5,20.3,12.6675,"metdata_Santamaria"
2015-07-01,4,6.3,20.2,24.1,61,0,27.3,12.6977777777778,"metdata_Santamaria"
2015-08-01,3,3.4,19.5,22.7,69,12.7,18.3,12.5572222222222,"metdata_Santamaria"
2015-09-01,3,4.3,18.6,23.2,68,0,20.8,12.3102777777778,"metdata_Santamaria"
2015-10-01,2,2,16.6,20.7,90,33.6,20.8,12.0388888888889,"metdata_Santamaria"
2015-11-01,7,2.6,16.9,21.7,84,0,21.7,11.7708333333333,"metdata_Santamaria"
2015-12-01,3,4.1,16.5,22.3,61,0,23.2,11.5833333333333,"metdata_Santamaria"
2016-01-01,3,7.2,20.5,23.1,58,0.1,21.7,11.5502777777778,"metdata_Santamaria"
2016-02-01,4,3.6,13.2,21.5,56,0,24.4,11.7016666666667,"metdata_Santamaria"
2016-03-01,3,5.5,19.1,22.8,57,0,22.4,11.9405555555556,"metdata_Santamaria"
2016-04-01,7,2.8,18.9,24.2,72,9,26.1,12.2261111111111,"metdata_Santamaria"
2016-05-01,7,2.3,18.2,22.5,82,0.1,18.6,12.4847222222222,"metdata_Santamaria"
2016-06-01,3,1.6,19.1,21,90,5.3,11,12.6702777777778,"metdata_Santamaria"
2016-07-01,7,1.9,19.9,21.8,90,0.5,11.3,12.6963888888889,"metdata_Santamaria"
2016-08-01,3,3.6,19.1,22.8,74,0,19.4,12.5522222222222,"metdata_Santamaria"
2016-09-01,7,2.2,17.6,19.9,92,14.1,13.8,12.3038888888889,"metdata_Santamaria"
2016-10-01,3,2.9,17.2,21.7,76,9.4,23.5,12.0319444444444,"metdata_Santamaria"
2016-11-01,7,2.1,18.4,20.7,92,12.5,14.2,11.765,"metdata_Santamaria"
2016-12-01,4,2.3,18.6,21.8,84,0.6,10.6,11.5802777777778,"metdata_Santamaria"
2017-01-01,4,5.4,19.7,22.2,62,0.2,18,11.5516666666667,"metdata_Santamaria"
2017-02-01,3,7.4,18.8,22.1,56,0,24.8,11.7069444444444,"metdata_Santamaria"
2017-03-01,3,6.7,19.7,23,49,0,26.9,11.9383333333333,"metdata_Santamaria"
2017-04-01,3,3.1,15,23.2,53,0,21.1,12.2238888888889,"metdata_Santamaria"
2017-05-01,3,2.6,17.9,21.7,86,25.2,20.4,12.4827777777778,"metdata_Santamaria"
2017-06-01,2,2.1,18.1,21.6,88,0.6,11.6,12.6694444444444,"metdata_Santamaria"
2017-07-01,7,2.2,17,21.4,83,4.9,14.2,12.6969444444444,"metdata_Santamaria"
